Bridge Number,Bridge Name,Bridge Type,Bridge Span(Mtrs),Trail Type,District,Major RM/UM,Ward No,River Name,RM/UM Left,RM/UM Right,Latitude,Longitude,Coordinate Source,National Agency,Foreign Agency,Bridge Status,Action Taken,Mela Condition,Observerd by,Observers Name,Completion FY,Bridge Warden Name and address,Bridge Warden Contact No,Comment or Recommendation,Entered By,Entered Date,Updated By,Updated Date
01 5 006 18 06 01,Tawa Khola (Banketar),D,61,Main,Taplejung,Khevang,,Tawa Khola,Surumkhim,Khewang,27.37436296951749,87.89086975250825,GPS,Other,KAABGN,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2004/05,bridge not visible,,,girman,,Satya N. Lohala,
01 5 008 18 06 02,Kabeligai Ghat,D,114.5,Local,Taplejung,Pedang,,Kabeli river,Pedang,Pedang,27.392245501397728,87.86309251886655,Map,VDC,SDC,No action required,Yet No Action    ,,Public,Public,2010/11,bridge not visible,,,girman,,Satya N. Lohala,
01 5 009 18 06 02,Nagdewa Khola,D,52,Local,Taplejung,Tellok,,Nagdewa Khola,Tellok,Tellok,27.37051912214581,87.8486645179687,GPS,VDC,DRILP+SDC/DFID,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2006/07,bridge not visible,,,,,Satya N. Lohala,
01 5 010 18 06 01,Beli Khola,D,75.5,Main,Taplejung,Yamphudin,,Kabeli Khola,Yamphudin,Yamphudin,27.451718243305507,87.91076295162043,GPS,GoN,Other,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1999/2000,bridge visible,,,girman,,Satya N. Lohala,
01 5 010 18 06 03,Tumcha Khola,D,42.5,Main,Taplejung,Yamphudin,,Tumcha khola,Yamphudin,Yamphudin,27.454938610810242,87.91129405994116,GPS,GoN,Other,Major Maintenance,Yet No Action    ,,NGO personnel,NGO personnel,2003/04,bridge not visible,,,girman,,Satya N. Lohala,
01 5 010 18 06 05,Hoputar,D,51,Local,Taplejung,Yamphudin,,Kabeli,Yamphudin,Yamphudin,27.44204709755771,87.90215307664948,GPS,VDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2003/04,bridge visible,,,girman,,Satya N. Lohala,
01 5 011 18 06 01,Phuwa,D,118,Main,Taplejung,Nangkholyang,,Tamor,Fulbari,Nangkholyang,27.29744091629588,87.69314728657764,GPS,VDC,SDC,Emergency Rehabilitation,Yet No Action    ,,NGO personnel,NGO personnel,2006/07, bridge visible,,,girman,,Satya N. Lohala,
01 5 012 18 06 01,Kabeli I,N,96,Main,Taplejung,Thechambu,,Kabeli river,Amarpur,Thechambu,27.286366537223792,87.72311559580385,GPS,GoN,Other,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1995/96,bridge visible,,,girman,,Satya N. Lohala,
01 5 012 18 06 02,Siwa Khola,D,60,Local,Taplejung,Thechambu,,Suwa Khola,Thechambu,Thechambu,27.334151104296627,87.74275029800185,GPS,VDC,DRILP+SDC/DFID,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2008,bridge not visible,,,girman,,Satya N. Lohala,
01 5 013 18 06 02,Saju,ST,32,Local,Taplejung,Phabakhola,,Saju  Khola,Phabakhola,Phabakhola,27.36346836934919,87.7813624539674,GPS,Other,KAABGN,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1999/2000,bridge visible,,,girman,,Satya N. Lohala,
01 5 013 18 06 04,Phawa Khola (Orakpa),D,57,Local,Taplejung,Phabakhola,,Phawa Khola,Sikaicha,Phawakhola,27.398095764762083,87.79129912638678,GPS,Other,KAABGN,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2010/11,bridge not visible,,,girman,,Satya N. Lohala,
01 5 013 18 06 05,Phawa Khola (Sisne),D,44.5,Local,Taplejung,Phabakhola,,Phawa Khola,Sikaicha,Phawakhola,27.403206018264758,87.79412349247946,GPS,Other,KAABGN,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2010/11,bridge not visible,,,girman,,Satya N. Lohala,
01 5 014 18 06 01,Sakrate,D,58,Local,Taplejung,Tiringe,,Phawa  Khola,Dumrise,Tiringe,27.32846508722197,87.77406683229367,GPS,VDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1999/2000,bridge not visible,,,girman,,Satya N. Lohala,
01 5 014 18 06 03,Siwa,D,51,Local,Taplejung,Tiringe,,Siwa  Khola,Tiringe,Tiringe,27.32751233778141,87.75572848895013,GPS,Other,KAABGN,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1999/2000,bridge visible,,,girman,,Satya N. Lohala,
01 5 014 18 06 04,Tiringe,D,62,Local,Taplejung,Tiringe,,Tiringe  Khola,Tiringe,Tiringe,27.353017638747335,87.75851813755116,GPS,Other,KAABGN,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1999/2000,bridge visible,,,girman,,Satya N. Lohala,
01 5 014 18 06 06,Amlise,D,54,Local,Taplejung,Tiringe,,Phawa Khola,Sikaicha,Tiringe,27.347253492871555,87.77743689087785,GPS,GoN,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2011/12,bridge visible,,,girman,,Satya N. Lohala,
01 5 015 18 06 01,Devidaha,D,65,Local,Taplejung,Ambegudin,,Happu Khola,Ambegudin,Ambegudin,27.34866024909323,87.83585420469353,GoogleEarth,VDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2003/04,bridge not visible,,,girman,,Satya N. Lohala,
01 5 015 18 06 03,Hapu  Khola,D,48,Main,Taplejung,Ambegudin,,Hapu  Khola,Ambegudin,Ambegudin,27.34774538201008,87.8500485364624,GoogleEarth,Other,KAABGN,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1995/96,bridge not visible,,,girman,,Satya N. Lohala,
01 5 015 18 06 04,Nebu Khola,D,61.5,Local,Taplejung,Ambegudin,,Nebu Khola,Ambugudin,Ambegudin,27.323100845737198,87.83061612676272,GoogleEarth,VDC,DRILP+SDC/DFID,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2008/09, bridge visible,,,girman,,Satya N. Lohala,
01 5 016 18 06 01,Make,D,73.3,Local,Taplejung,Chaksibote,,Kabeli Khola,Amarpur,Chaksibote,27.272892783081105,87.77678122883606,GPS,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2003/04,bridge visible,,,girman,,Satya N. Lohala,
01 5 017 18 06 01,Olak,D,64,Local,Taplejung,Dumrise,,Phawa Khola,Thechambu,Dumrise,27.30061802209578,87.76423392631989,GPS,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2001/02,bridge not visible,,,girman,,Satya N. Lohala,
01 5 017 18 06 02,Phawa  Khola,D,47,Local,Taplejung,Dumrise,,Phawa  Khola,Dumrise,Dumrise,27.319286021758078,87.76654598030393,GPS,Other,KAABGN,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1995/96,bridge not visible,,,girman,,Satya N. Lohala,
01 5 018 18 06 01,Phawa  Khola,D,35,Local,Taplejung,Sikaicha,,Phawa  Khola,Sikaicha,Phawakhola,27.3777695222922,87.78187743908688,GPS,GoN,Other,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1995/96,bridge not visible,,,girman,,Satya N. Lohala,
01 5 019 18 06 01,Sinam Panchami,D,105,Main,Taplejung,Sinam,,Kabeli Nadi,Sablakhu,Sinam,27.294394674505984,87.83606884973756,GPS,GoN,Other,Major Maintenance,Yet No Action    ,,NGO personnel,NGO personnel,1994/95,bridge visible,,,girman,,Satya N. Lohala,
01 5 020 18 06 01,Inwa Dobhan,D,127,Main,Taplejung,Thumbedin,,Kabeli River,Tharpu,Thumbedin,27.2826955,87.8294062,GPS,GoN,Other,No action required,Yet No Action    ,,Public,Public,1986/87,Bridge absolute.,,,girman,,Satya N. Lohala,
01 5 021 18 06 01,Suwa,D,46,Local,Taplejung,Angkhop,,Suwa Khola,Sadeva,Angkhop,27.283177028870682,87.92134697127221,GPS,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2005/06,bridge visible,,,girman,,Satya N. Lohala,
01 5 021 18 06 02,Gorutar,D,101,Local,Taplejung,Angkhop,,Inwa Khola,Oyam,Angkhop,27.285389155361845,87.89317844445804,GPS,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2003/04,bridge visible,,,girman,,Satya N. Lohala,
01 5 021 18 06 04,Khirlabote,D,111,Local,Taplejung,Angkhop,,Iwa  Khola,Oyam,Ankhop,27.29263621,87.90243748,GPS,VDC,DRILP+SDC/DFID,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2010/11,bridge not visible,,,girman,,Satya N. Lohala,
01 5 021 18 06 03,Suwa Majuwa,D,73,Local,Taplejung,Angkhop,,Suwa Khola,Sadewa ,Ankhop,27.30232518317989,87.93391320278977,GPS,VDC,DRILP+SDC/DFID,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2008/09,bridge imported from TIM,,,girman,,Satya N. Lohala,
01 5 025 18 06 03,Dovane,D,56,Main,Taplejung,Kalikhola,,Iwa  Khola,Falaicha,Kalikhola,27.32983045198442,88.00428909690436,GPS,VDC,DRILP+SDC/DFID,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2011/12,bridge visible,,,girman,,Satya N. Lohala,
01 5 028 18 06 02,Sobuwa,D,42.5,Local,Taplejung,Change,,Sobuwa  Khola,Change,Hangpang,27.310144306224736,87.58601185634768,GPS,Other,KAABGN,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2003/04,bridge not visible,,,girman,,Satya N. Lohala,
01 5 029 18 06 02,Maiwa  Khola,D,43,Local,Taplejung,Dhungesaghu,,Maiwa  Khola,Santhankra,Dhungesaghu,27.385362407978793,87.96779747659605,GPS,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1997/98,bridge not visible,,,girman,,Satya N. Lohala,
01 5 033 18 06 01,Hellok,D,54,Local,Taplejung,Tapethok,,Hellok Khola,Tapethok,Tapethok,27.526683,87.8056338,GPS,GoN,CARE,Emergency Rehabilitation,Yet No Action    ,,NGO personnel,NGO personnel,1982/1983,bridge visible,,,girman,,Satya N. Lohala,
01 5 033 18 06 02,Thiwa Khola,D,77,Main,Taplejung,Tapethok,,Thiwa Khola,Limkhim,Tapethok,27.4734473,87.7384042,GPS,DDC,SDC,Protection,Yet No Action    ,,NGO personnel,NGO personnel,2000/01,bridge visible,,,girman,,Satya N. Lohala,
01 5 036 18 06 07,Neruwa,D,80,Local,Taplejung,Shanghu,,Neruwa  Khola,Fakumba,Shanghu,27.363944789180067,87.53552191386109,GPS,VDC,DRILP+SDC/DFID,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2011/12,bridge not visible,,,girman,,Satya N. Lohala,
01 5 038 18 06 01,Khesenebar,D,62,Local,Taplejung,Thinglabu,,Hangwa Khola,Santhakra,Thinglabu,27.385319912163304,87.57316292366704,GPS,VDC,DRILP+SDC/DFID,Emergency Rehabilitation,Yet No Action    ,,NGO personnel,NGO personnel,2008,Limb wall crack by tree felled.,,,girman,,Satya N. Lohala,
01 5 040 18 06 01,Mangkhring,D,84,Local,Taplejung,Liwang,,Handi Khola,Liwang,Liwang,27.443666923578313,87.62157749603273,GPS,VDC,DRILP+SDC/DFID,Major Maintenance,Yet No Action    ,,NGO personnel,NGO personnel,2008,bridge visible,,,girman,,Satya N. Lohala,
01 5 040 18 06 02,Sumlungwa Khola,D,20,Local,Taplejung,Liwang,,Samlungwa Khola,Liwang-4,Liwang,27.4492654,87.62144875,GPS,VDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2001/02,bridge not visible,,,girman,,Satya N. Lohala,
01 5 041 18 06 01,Hangsuk Tar,D,47,Local,Taplejung,Nalbu,,Yanwa  Khola,Nalbu,Nalbu,27.49662327147866,87.56135700682376,GPS,VDC,SDC,No action required,Yet No Action    ,,Public,Public,1999/2000,bridge not visible,,,girman,,Satya N. Lohala,
01 5 041 18 06 02,Sakrante (Maiwa Khola),D,89,Local,Taplejung,Nalbu,,Mewa  Khola,Sawa,Nalbu,27.474818,87.6093739,GPS,VDC,SDC,Protection,Yet No Action    ,,NGO personnel,NGO personnel,2000/01,bridge not visible,,,girman,,Satya N. Lohala,
01 5 041 18 06 03,Samabung,D,40,Local,Taplejung,Nalbu,,Mainju Khola,Nalbu,Nalbu,27.463261617217235,87.57698890873712,GPS,VDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2003/04,bridge not visible,,,girman,,Satya N. Lohala,
01 5 041 18 06 04,Siwa Khola,D,110,Local,Taplejung,Nalbu,,Siwa  Khola,Papung,Nalbu,27.488145679889044,87.60774329416995,GPS,VDC,DRILP+SDC/DFID,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2010/11,bridge not visible,,,girman,,Satya N. Lohala,
01 5 042 18 06 01,Phungphunge,D,58,Main,Taplejung,Papung,,Mewa  Khola,Sawa,Papung,27.50342769116085,87.6260840595246,GPS,GoN,Other,Major Maintenance,Yet No Action    ,,NGO personnel,NGO personnel,1996/97,bridge not visible,,,girman,,Satya N. Lohala,
01 5 044 18 06 02,Lunga Khola,D,60,Main,Taplejung,Thukimba,,Lunga Khola,Nalbu,Thukimba,27.457997050982502,87.6065145982086,GPS,Other,KAABGN,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2005/06,bridge not visible,,,girman,,Satya N. Lohala,
01 5 045 18 06 01,Tengwa Khola,D,60,Main,Taplejung,Ikhabu,,Tengwa Khola,Ikhabu,Ikhabu,27.496214050767133,87.74685855158998,GPS,Other,KAABGN,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2005/06,bridge not visible,,,girman,,Satya N. Lohala,
01 5 045 18 06 03,Numa,D,60,Local,Taplejung,Ikhabu,,Numa  Khola,Ikhabu,Ikhabu,27.4905609,87.7379214,GPS,Other,KAABGN,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1999/2000,bridge not visible,,,girman,,Satya N. Lohala,
01 5 045 18 06 04,Mekuwa,D,50,Local,Taplejung,Ikhabu,,Mekhuwa  Khola,Ikhabu,Ikhabu,27.4968422,87.7469015,GPS,GoN,Other,Emergency Rehabilitation,Yet No Action    ,,NGO personnel,NGO personnel,2003/04,bridge not visible,,,girman,,Satya N. Lohala,
01 5 046 18 06 01,Bhirkuna,D,78,Local,Taplejung,Khojenim,,Jor Khola,Khojenim,Khojenim,27.471517261039818,87.68510336538998,GPS,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2004/05,bridge not visible,,,girman,,Satya N. Lohala,
01 5 046 18 06 05,Imma (Ramite) Khola,D,60.5,Local,Taplejung,Khojenim,,Imma khola,Khejenim ,Khejenim,27.4478041,87.69579143,GPS,Other,KAABGN,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2009/2010,bridge not visible,,,girman,,Satya N. Lohala,
01 5 046 18 06 03,Methem Khola,D,84,Local,Taplejung,Khojenim,,Methem khola,Khojenim,Khojenim,27.467453905712894,87.69527644586913,GPS,Other,KAABGN,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2009/2010,bridge not visible,,,girman,,Satya N. Lohala,
01 5 046 18 06 04,Phagu Khola ,ST,32,Main,Taplejung,Khojenim,,-,"Khejenim, W4/6",Khejenim,27.461170918462557,87.68776626062731,GPS,Other,KAABGN,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2009/2010,bridge not visible,,,girman,,Satya N. Lohala,
01 5 047 18 06 02,Handrung,LD,131.4,Main,Taplejung,Khokling,,Tamor River,Phungling,Khokling,27.377726605418523,87.63138942298735,GPS,GoN,Other,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1999,MM work completed in 2014.,,,girman,,Satya N. Lohala,
01 5 047 18 06 03,Thumba,D,96.4,Local,Taplejung,Khokling,,Tamor River,Hangdewa,Khokling,27.39700312095915,87.66972892864987,GPS,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2006/07,bridge visible,,,girman,,Satya N. Lohala,
01 5 048 18 06 01,Sekhathum,N,56,Local,Taplejung,Lelep,,Tamor River,Lelep,Lelep,27.541681337189047,87.79878615023199,GPS,GoN,CARE,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1983/84,bridge not visible,,,girman,,Satya N. Lohala,
01 5 049 18 06 01,Ramite Phedi,D,20,Local,Taplejung,Olangchunggola,,Tamor,Olangchunggola,Olangchunggola,27.663325346460724,87.79508731716612,GPS,GoN,CARE,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1983/84,Rehabilitation work on going in 2014. ,,,girman,,Y. Bakharel,1/14/2016
01 5 050 18 06 01,Larbara Sinkhim,D,65.6,Local,Taplejung,Sawadin,,Saba Khola,Sawadin,Sawadin,27.438038446441915,87.69738786217954,GPS,DDC,SDC,Major Maintenance,Yet No Action    ,,NGO personnel,NGO personnel,2003/04,bridge not visible,,,girman,,Satya N. Lohala,
01 5 050 18 06 02,Sinwa,N,108,Main,Taplejung,Sawadin,,Tamor,Limkhim,Sawadin,27.4409831,87.7004885,GPS,GoN,CARE,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1983/84,bridge not visible,,,girman,,Satya N. Lohala,
01 5 050 18 06 03,Mitlung,D,118,Local,Taplejung,Sawadin,,Tamor River,Phurumbu,Sawadin,27.41458936778741,87.69117677589747,GPS,VDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2008,bridge visible,,,girman,,Satya N. Lohala,
02 5 011 18 06 05,Pinasi Ghat,D,119.4,Main,Panchthar,Amarpur,,Tamor Nadi,Amarpur,Chhatedhunga,27.238129866814877,87.72594869445311,GoogleEarth,DDC/VDC,RRRSDP+SDC/DFID,No action required,Yet No Action    ,,Bridge Expert,Bridge Expert,2011/12,bridge not visible,,,Satya N. Lohala,,,
03 3 001 18 06 01,Tribeni Ghat,N,63.20,Main,Ilam,Ilam Municipality,,Mai  Khola,Namsaling,Ilam Municipality,26.851811626512017,87.77157263630272,GoogleEarth,GoN,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,,bridge not visible,,,Bhanu.B shrestha,,,
03 3 001 18 06 02,Archale bridge,LD,95.70,Local,Ilam,Ilam Municipality,,Mai  Khola,Soyang,Ilam Municipality,26.91175720199907,87.94897904841002,GoogleEarth,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1987/88,bridge visible,,,Bhnu B shrestha,,,
03 3 001 18 06 03,Janghare Dovan,D,95.5,Local,Ilam,Ilam Municipality,,Mai  Khola,Namsaling,Ilam Municipality,26.919931809243856,87.94926874669648,GoogleEarth,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,,bridge visible,,,Bhanu.B shrestha,,,
03 3 001 18 06 05,Kudule bridge,D,60,Main,Ilam,Ilam Municipality,,Mai  Khola,Chisapani,Ilam Municipality,26.8637065,87.9132521,GoogleEarth,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,,bridge visible,,,Bhnu B shrestha,,,
03 5 001 18 06 01,Bhote Sangu,D,38.02,Local,Ilam,Jogmai,,Jogmai,Jogmai,Jogmai,26.968462948889382,88.05526427297741,GoogleEarth,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,,bridge not visible,,,Bhanu B Shrestha,,,
03 5 001 18 06 02,Thulokhet Puchhar,D,61.60,Local,Ilam,Jogmai,,Jogmai,Jogmai,Jogmai,26.9685634,88.0537194,GoogleEarth,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2001/02,bridge not visible,,,Bhnu B shrestha,,,
03 5 001 18 06 03,Sagutar,D,42.90,Local,Ilam,Jogmai,,Dhade Khola,Jogmai,Jogmai,26.98664148865592,88.05364688710256,GoogleEarth,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,,bridge visible,,,Bhanu B Shrestha,,,
03 5 001 18 06 04,Andheri,D,51.08,Local,Ilam,Jogmai,,Dhande Khola,Jogmai,Jogmai,26.870233722199686,87.95278515449218,GPS,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2003/2004,bridge not visible,,,Bhanu.B shrestha,,,
03 5 001 18 06 05,Lumrunge,D,58.60,Local,Ilam,Jogmai,,Jogmai,Jogmai,Jogmai,26.994535871755886,88.05973018761904,GoogleEarth,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2004/05,bridge visible,,,Bhnu B shrestha,,,
03 5 001 18 06 06,Jogmai Dovan,,82.2,,Ilam,Jogmai,,Jogmai Khola,Jogmai,Jogmai,26.99678295,88.04252724,,,,Bridge Inspection Pending,Yet No Action    ,,,,2010/11,bridge not visible,,,girman,,,
03 5 001 18 06 07,Thulokhet,D,61.7,Local,Ilam,Jogmai,,Jogmai,Jogmai-4,Jogmai,26.99678295,88.04252724,GPS,GoN,SDC,,Yet No Action    ,,Public,Public,2001/02,bridge not visible,,,girman,,,
03 5 002 18 06 02,Bagare,D,58.5,Local,Ilam,Namsaling,,Jogmai,Godak,Namsaling,26.8882583,87.961902,GoogleEarth,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2001/02,bridge visible,,,Bhnu B shrestha,,,
03 5 004 18 06 01,Gairikhet,D,60.64,Local,Ilam,Soyang,,Soyang Khola,Namsaling,Soyang,26.929210672276955,87.98728102803352,GoogleEarth,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2003/04,bridge not visible,,,Bhnu B shrestha,,,
03 5 004 18 06 02,Sisne,D,52.88,Local,Ilam,Soyang,,Sovang Khola,Namsaling,Soyang,26.925901008040295,87.97367149533238,GoogleEarth,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2003/2004,bridge visible,,,Bhanu.B shrestha,,,
03 5 005 18 06 03,Maruwa,D,52,Local,Ilam,Gorkhe,,Mayum,Pashupatinagar,Gorkhe,26.982166528769014,88.06823455860513,GoogleEarth,GoN,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2010/11,bridge not visible,,,Bhanu.B shrestha,,,
03 5 006 18 06 01,Shankhabung bridge,ST,32,Local,Ilam,Nayabazar,,Jogmai,Gorkhe,Nayabazar,26.95259591221612,88.05140192020724,GPS,DDC,SWAp,No action required,Yet No Action    ,No,NGO personnel,NGO personnel,20122013,,,,Bhnu B shrestha,,,
03 5 006 18 06 02,Naya Bazar,D,50.80,Local,Ilam,Nayabazar,,Jogmai  Khola,Ficklebazar,Nayabazar,26.917784132886343,88.04689040185235,GoogleEarth,DDC,SDC,Major Maintenance,Yet No Action    ,,NGO personnel,NGO personnel,1994/1995,bridge visible,,,Bhanu.B shrestha,,,
03 5 006 18 06 03,Arkhaule,D,36.2,Local,Ilam,Nayabazar,,Jogmai,Gorkhe,Nayabazar,26.9459108,88.0513483,GPS,DDC,SDC,,Yet No Action    ,,Public,Public,,bridge not visible,,,girman,,,
03 5 007 18 06 01,Chandane,D,72.8,Local,Ilam,Panchakanya,,Biring  Khola,Kanyam,Panchakanya,26.863699345701235,88.05581413260188,GoogleEarth,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2005/06,bridge visible,,,Bhnu B shrestha,,,
03 5 009 18 06 01,Shreeantu,D,31.70,Local,Ilam,Ficklebazar,,Siddi  Khola,Sriantu,Ficklebazar,26.905882890144287,88.10504607941516,GoogleEarth,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1991/92,"bridge not visible
",,,Bhnu B shrestha,,,
03 5 009 18 06 02,Koche  Khola,D,20.45,Local,Ilam,Ficklebazar,,Koche  Khola,Pashupatinagar,Ficklebazar,26.9060718605457,88.10467865337296,GoogleEarth,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1998/99,bridge visible,,,Bhnu B shrestha,,,
03 5 011 18 06 01,Sanghuri,D,36.60,Local,Ilam,Erautar,,Sokinnida khola,Erautar,Erautar,26.7661453,88.1162229,GoogleEarth,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,,bridge visible,,,Bhnu B shrestha,,,
03 5 011 18 06 02,Timmai  Khola,D,59.30,Local,Ilam,Erautar,,Timai  Khola,Irauntar,Shantipur,26.788883652346165,88.08200539202119,GoogleEarth,GoN,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1994,bridge visible,,,Bhnu B shrestha,,,
